24/10/2020,09,17,24,41,42,47,39,1,7970561
22/10/2020,13,17,31,36,39,43,19,6,5593195
17/10/2020,01,07,39,40,41,46,33,3,3016350
15/10/2020,01,10,13,23,42,48,40,2,7009115
10/10/2020,01,04,16,27,36,44,40,4,8315266
8/10/2020,01,06,09,11,21,39,19,1,2712677
3/10/2020,05,12,13,27,42,48,14,5,5097034
1/10/2020,04,06,10,25,29,41,19,8,3634529
26/09/2020,07,10,14,15,26,46,20,0,3844410
24/09/2020,03,10,13,15,31,48,43,6,3402449
19/09/2020,07,17,19,35,42,44,06,5,3194731
17/09/2020,08,18,19,20,36,40,37,9,6316945
12/09/2020,05,18,25,28,35,46,02,4,8403588
10/09/2020,23,29,30,36,37,43,33,7,9766090
5/09/2020,07,12,14,21,34,38,24,2,5865390
3/09/2020,10,11,13,26,44,45,37,5,2540174
29/08/2020,01,06,11,20,24,35,02,2,1971223
27/08/2020,09,16,35,42,47,49,27,8,4651140
22/08/2020,10,12,14,31,33,40,08,3,5222218
20/08/2020,04,07,14,22,45,47,13,0,2449195
15/08/2020,05,10,27,34,36,38,35,5,6375234
13/08/2020,01,04,06,17,23,26,03,0,0048124
8/08/2020,03,09,12,14,15,46,38,5,6549224
6/08/2020,18,23,33,35,36,41,49,2,1053010
1/08/2020,01,13,24,35,44,48,38,3,1718268
30/07/2020,03,13,33,34,45,47,43,0,0899736
25/07/2020,03,16,33,37,43,45,42,1,9359173
23/07/2020,07,13,34,36,43,45,06,4,8436909
18/07/2020,04,13,38,39,40,42,41,9,8071007
16/07/2020,13,15,26,42,45,47,07,5,2333091
11/07/2020,06,07,14,18,25,34,44,9,8852535
9/07/2020,04,11,22,24,27,36,41,5,6926745
4/07/2020,04,07,12,15,36,41,33,1,9010183
2/07/2020,09,13,14,32,34,49,23,0,5003634
27/06/2020,18,28,33,38,46,49,44,1,7852258
25/06/2020,27,30,32,35,42,47,07,0,8461346
20/06/2020,08,09,24,28,42,47,38,1,7590726
18/06/2020,09,15,17,18,37,46,05,8,2663255
13/06/2020,13,14,16,19,31,38,15,9,8927624
11/06/2020,01,03,28,30,38,40,37,1,1831913
6/06/2020,03,07,09,28,30,48,16,4,7700485
4/06/2020,09,12,16,21,22,23,34,8,4738730
30/05/2020,02,04,15,17,36,40,34,5,2152178
28/05/2020,18,24,28,31,42,49,08,1,8485681
23/05/2020,01,08,09,14,21,23,46,4,3943137
21/05/2020,02,05,09,21,34,49,22,2,7056324
14/03/2020,09,20,31,34,37,45,44,7,6381073
12/03/2020,13,15,16,27,38,49,07,0,8205072
7/03/2020,03,05,16,22,29,33,01,4,7079157
5/03/2020,05,15,19,27,46,49,39,3,0151181
29/02/2020,03,17,28,36,41,47,49,4,5268914
27/02/2020,16,18,24,25,34,42,11,7,2173453
22/02/2020,07,12,25,31,37,44,39,4,0662675
20/02/2020,03,15,18,23,31,39,26,5,0576516
15/02/2020,03,07,09,30,44,45,31,9,6288396
13/02/2020,04,12,20,36,40,45,18,0,3122084
8/02/2020,04,20,25,28,46,49,16,2,5745185
6/02/2020,14,16,28,33,45,47,18,3,1471400
1/02/2020,13,15,36,39,40,41,33,1,8305439
30/01/2020,19,25,28,29,34,42,33,9,9596183
25/01/2020,03,20,27,28,44,46,14,7,1807976
23/01/2020,02,17,18,19,38,40,09,1,7255927
18/01/2020,07,12,17,23,33,37,44,6,4987695
16/01/2020,01,12,17,18,30,46,11,2,7645589
11/01/2020,13,14,15,23,24,41,39,7,6400630
9/01/2020,03,19,34,36,44,48,04,3,1901947
4/01/2020,01,02,22,27,30,44,36,5,2157304
2/01/2020,11,25,32,40,44,46,12,2,4581061
28/12/2019,05,07,27,39,42,48,14,1,3670600
26/12/2019,13,35,43,45,46,47,02,6,8401006
21/12/2019,08,11,37,38,42,45,17,2,1264669
19/12/2019,19,31,32,37,40,48,36,1,8972940
14/12/2019,06,16,18,30,32,41,19,4,8499280
12/12/2019,02,13,31,32,33,40,05,9,6757977
7/12/2019,02,13,34,36,41,42,28,6,1608523
5/12/2019,01,17,18,40,41,43,21,7,6112558
30/11/2019,02,04,07,09,16,41,25,3,8944023
28/11/2019,07,11,21,41,43,46,16,2,2781963
23/11/2019,05,07,08,09,17,42,03,3,7757709
21/11/2019,03,05,11,27,34,37,40,6,8145569
16/11/2019,09,26,33,34,36,44,28,4,9922559
